,Sex,Single Year of Age,Administrative Counties,VALUE
4599,Male,40 years,Galway City Council,707
4600,Male,40 years,Galway County Council,1443
4601,Male,40 years,Leitrim County Council,245
4602,Male,40 years,Mayo  County Council,943
4603,Male,40 years,Roscommon County Council,489
4604,Male,40 years,Sligo County Council,491
4605,Male,40 years,Cavan County Council,633
4606,Male,40 years,Donegal County Council,1149
4607,Male,40 years,Monaghan County Council,477
4608,Male,41 years,Ireland,41401
4609,Male,41 years,Carlow County Council,487
4610,Male,41 years,Dublin City Council,4913
4611,Male,41 years,Dún Laoghaire Rathdown County Council,1795
4612,Male,41 years,Fingal County Council,3043
4613,Male,41 years,South Dublin County Council,2610
4614,Male,41 years,Kildare County Council,2183
4615,Male,41 years,Kilkenny County Council,787
4616,Male,41 years,Laois County Council,799
4617,Male,41 years,Longford County Council,410
4618,Male,41 years,Louth County Council,1100
4619,Male,41 years,Meath County Council,1850
4620,Male,41 years,Offaly County Council,628
4621,Male,41 years,Westmeath County Council,759
4622,Male,41 years,Wexford County Council,1293
4623,Male,41 years,Wicklow County Council,1250
4624,Male,41 years,Clare County Council,926
4625,Male,41 years,Cork City Council,1727
4626,Male,41 years,Cork County Council,2933
4627,Male,41 years,Kerry County Council,1141
4628,Male,41 years,Limerick City & County Council,1646
4629,Male,41 years,Tipperary County Council,1247
4630,Male,41 years,Waterford City & County Council,960
4631,Male,41 years,Galway City Council,699
4632,Male,41 years,Galway County Council,1587
4633,Male,41 years,Leitrim County Council,276
4634,Male,41 years,Mayo  County Council,950
4635,Male,41 years,Roscommon County Council,546
4636,Male,41 years,Sligo County Council,509
4637,Male,41 years,Cavan County Council,630
4638,Male,41 years,Donegal County Council,1168
4639,Male,41 years,Monaghan County Council,549
4640,Male,42 years,Ireland,41644
4641,Male,42 years,Carlow County Council,528
4642,Male,42 years,Dublin City Council,4704
4643,Male,42 years,Dún Laoghaire Rathdown County Council,1812
4644,Male,42 years,Fingal County Council,3069
4645,Male,42 years,South Dublin County Council,2626
4646,Male,42 years,Kildare County Council,2192
4647,Male,42 years,Kilkenny County Council,791
4648,Male,42 years,Laois County Council,813
4649,Male,42 years,Longford County Council,384
4650,Male,42 years,Louth County Council,1133
4651,Male,42 years,Meath County Council,1903
4652,Male,42 years,Offaly County Council,625
4653,Male,42 years,Westmeath County Council,778
4654,Male,42 years,Wexford County Council,1302
4655,Male,42 years,Wicklow County Council,1306
4656,Male,42 years,Clare County Council,969
4657,Male,42 years,Cork City Council,1747
4658,Male,42 years,Cork County Council,2906
4659,Male,42 years,Kerry County Council,1248
4660,Male,42 years,Limerick City & County Council,1613
4661,Male,42 years,Tipperary County Council,1254
4662,Male,42 years,Waterford City & County Council,1022
4663,Male,42 years,Galway City Council,692
4664,Male,42 years,Galway County Council,1558
4665,Male,42 years,Leitrim County Council,249
4666,Male,42 years,Mayo  County Council,1007
4667,Male,42 years,Roscommon County Council,538
4668,Male,42 years,Sligo County Council,541
4669,Male,42 years,Cavan County Council,624
4670,Male,42 years,Donegal County Council,1224
4671,Male,42 years,Monaghan County Council,486
4672,Male,43 years,Ireland,39275
4673,Male,43 years,Carlow County Council,487
4674,Male,43 years,Dublin City Council,4458
4675,Male,43 years,Dún Laoghaire Rathdown County Council,1665
4676,Male,43 years,Fingal County Council,2948
4677,Male,43 years,South Dublin County Council,2555
4678,Male,43 years,Kildare County Council,2080
4679,Male,43 years,Kilkenny County Council,799
4680,Male,43 years,Laois County Council,727
4681,Male,43 years,Longford County Council,384
4682,Male,43 years,Louth County Council,971
4683,Male,43 years,Meath County Council,1773
4684,Male,43 years,Offaly County Council,572
4685,Male,43 years,Westmeath County Council,673
4686,Male,43 years,Wexford County Council,1119
4687,Male,43 years,Wicklow County Council,1222
4688,Male,43 years,Clare County Council,892
4689,Male,43 years,Cork City Council,1638
4690,Male,43 years,Cork County Council,2853
4691,Male,43 years,Kerry County Council,1145
4692,Male,43 years,Limerick City & County Council,1543
4693,Male,43 years,Tipperary County Council,1235
4694,Male,43 years,Waterford City & County Council,1008
4695,Male,43 years,Galway City Council,645
4696,Male,43 years,Galway County Council,1469
4697,Male,43 years,Leitrim County Council,246
4698,Male,43 years,Mayo  County Council,919
4699,Male,43 years,Roscommon County Council,472
4700,Male,43 years,Sligo County Council,482
4701,Male,43 years,Cavan County Council,632
4702,Male,43 years,Donegal County Council,1186
4703,Male,43 years,Monaghan County Council,477
4704,Male,44 years,Ireland,37940
4705,Male,44 years,Carlow County Council,448
4706,Male,44 years,Dublin City Council,4210
4707,Male,44 years,Dún Laoghaire Rathdown County Council,1566
4708,Male,44 years,Fingal County Council,2707
4709,Male,44 years,South Dublin County Council,2330
4710,Male,44 years,Kildare County Council,1971
4711,Male,44 years,Kilkenny County Council,800
4712,Male,44 years,Laois County Council,712
4713,Male,44 years,Longford County Council,334
4714,Male,44 years,Louth County Council,1002
4715,Male,44 years,Meath County Council,1748
4716,Male,44 years,Offaly County Council,617
4717,Male,44 years,Westmeath County Council,679
4718,Male,44 years,Wexford County Council,1114
4719,Male,44 years,Wicklow County Council,1224
4720,Male,44 years,Clare County Council,884
4721,Male,44 years,Cork City Council,1535
4722,Male,44 years,Cork County Council,2778
4723,Male,44 years,Kerry County Council,1179
4724,Male,44 years,Limerick City & County Council,1503
4725,Male,44 years,Tipperary County Council,1172
4726,Male,44 years,Waterford City & County Council,930
4727,Male,44 years,Galway City Council,613
4728,Male,44 years,Galway County Council,1449
4729,Male,44 years,Leitrim County Council,264
4730,Male,44 years,Mayo  County Council,955
4731,Male,44 years,Roscommon County Council,478
4732,Male,44 years,Sligo County Council,506
4733,Male,44 years,Cavan County Council,586
4734,Male,44 years,Donegal County Council,1181
4735,Male,44 years,Monaghan County Council,465
4736,Male,45 years,Ireland,37710
4737,Male,45 years,Carlow County Council,447
4738,Male,45 years,Dublin City Council,4016
4739,Male,45 years,Dún Laoghaire Rathdown County Council,1443
4740,Male,45 years,Fingal County Council,2788
4741,Male,45 years,South Dublin County Council,2222
4742,Male,45 years,Kildare County Council,1959
4743,Male,45 years,Kilkenny County Council,770
4744,Male,45 years,Laois County Council,721
4745,Male,45 years,Longford County Council,365
4746,Male,45 years,Louth County Council,968
4747,Male,45 years,Meath County Council,1719
4748,Male,45 years,Offaly County Council,623
4749,Male,45 years,Westmeath County Council,701
4750,Male,45 years,Wexford County Council,1166
4751,Male,45 years,Wicklow County Council,1194
4752,Male,45 years,Clare County Council,936
4753,Male,45 years,Cork City Council,1495
4754,Male,45 years,Cork County Council,2866
4755,Male,45 years,Kerry County Council,1147
4756,Male,45 years,Limerick City & County Council,1566
4757,Male,45 years,Tipperary County Council,1237
4758,Male,45 years,Waterford City & County Council,921
4759,Male,45 years,Galway City Council,584
4760,Male,45 years,Galway County Council,1462
4761,Male,45 years,Leitrim County Council,267
4762,Male,45 years,Mayo  County Council,931
4763,Male,45 years,Roscommon County Council,481
4764,Male,45 years,Sligo County Council,492
4765,Male,45 years,Cavan County Council,538
4766,Male,45 years,Donegal County Council,1193
4767,Male,45 years,Monaghan County Council,492
4768,Male,46 years,Ireland,37289
4769,Male,46 years,Carlow County Council,463
4770,Male,46 years,Dublin City Council,3858
4771,Male,46 years,Dún Laoghaire Rathdown County Council,1546
4772,Male,46 years,Fingal County Council,2681
4773,Male,46 years,South Dublin County Council,2145
4774,Male,46 years,Kildare County Council,1957
4775,Male,46 years,Kilkenny County Council,807
4776,Male,46 years,Laois County Council,665
4777,Male,46 years,Longford County Council,333
4778,Male,46 years,Louth County Council,1055
4779,Male,46 years,Meath County Council,1770
4780,Male,46 years,Offaly County Council,638
4781,Male,46 years,Westmeath County Council,644
4782,Male,46 years,Wexford County Council,1137
4783,Male,46 years,Wicklow County Council,1171
4784,Male,46 years,Clare County Council,902
4785,Male,46 years,Cork City Council,1520
4786,Male,46 years,Cork County Council,2783
4787,Male,46 years,Kerry County Council,1089
4788,Male,46 years,Limerick City & County Council,1541
4789,Male,46 years,Tipperary County Council,1194
4790,Male,46 years,Waterford City & County Council,878
4791,Male,46 years,Galway City Council,577
4792,Male,46 years,Galway County Council,1464
4793,Male,46 years,Leitrim County Council,244
4794,Male,46 years,Mayo  County Council,974
4795,Male,46 years,Roscommon County Council,481
4796,Male,46 years,Sligo County Council,469
4797,Male,46 years,Cavan County Council,587
4798,Male,46 years,Donegal County Council,1239
4799,Male,46 years,Monaghan County Council,477
4800,Male,47 years,Ireland,37053
4801,Male,47 years,Carlow County Council,453
4802,Male,47 years,Dublin City Council,3801
4803,Male,47 years,Dún Laoghaire Rathdown County Council,1510
4804,Male,47 years,Fingal County Council,2715
4805,Male,47 years,South Dublin County Council,2105
4806,Male,47 years,Kildare County Council,1933
4807,Male,47 years,Kilkenny County Council,738
4808,Male,47 years,Laois County Council,684
4809,Male,47 years,Longford County Council,355
4810,Male,47 years,Louth County Council,986
4811,Male,47 years,Meath County Council,1778
4812,Male,47 years,Offaly County Council,622
4813,Male,47 years,Westmeath County Council,712
4814,Male,47 years,Wexford County Council,1126
4815,Male,47 years,Wicklow County Council,1208
4816,Male,47 years,Clare County Council,882
4817,Male,47 years,Cork City Council,1501
4818,Male,47 years,Cork County Council,2801
4819,Male,47 years,Kerry County Council,1151
4820,Male,47 years,Limerick City & County Council,1505
4821,Male,47 years,Tipperary County Council,1258
4822,Male,47 years,Waterford City & County Council,886
4823,Male,47 years,Galway City Council,569
4824,Male,47 years,Galway County Council,1412
4825,Male,47 years,Leitrim County Council,244
4826,Male,47 years,Mayo  County Council,919
4827,Male,47 years,Roscommon County Council,529
4828,Male,47 years,Sligo County Council,508
4829,Male,47 years,Cavan County Council,588
4830,Male,47 years,Donegal County Council,1119
4831,Male,47 years,Monaghan County Council,455
4832,Male,48 years,Ireland,36472
4833,Male,48 years,Carlow County Council,411
4834,Male,48 years,Dublin City Council,3741
4835,Male,48 years,Dún Laoghaire Rathdown County Council,1561
4836,Male,48 years,Fingal County Council,2614
4837,Male,48 years,South Dublin County Council,2084
4838,Male,48 years,Kildare County Council,1930
4839,Male,48 years,Kilkenny County Council,796
4840,Male,48 years,Laois County Council,665
4841,Male,48 years,Longford County Council,307
4842,Male,48 years,Louth County Council,1010
4843,Male,48 years,Meath County Council,1692
4844,Male,48 years,Offaly County Council,596
4845,Male,48 years,Westmeath County Council,656
4846,Male,48 years,Wexford County Council,1159
4847,Male,48 years,Wicklow County Council,1190
4848,Male,48 years,Clare County Council,958
4849,Male,48 years,Cork City Council,1394
4850,Male,48 years,Cork County Council,2820
4851,Male,48 years,Kerry County Council,1138
4852,Male,48 years,Limerick City & County Council,1450
4853,Male,48 years,Tipperary County Council,1167
4854,Male,48 years,Waterford City & County Council,885
4855,Male,48 years,Galway City Council,483
4856,Male,48 years,Galway County Council,1464
4857,Male,48 years,Leitrim County Council,243
4858,Male,48 years,Mayo  County Council,905
4859,Male,48 years,Roscommon County Council,508
4860,Male,48 years,Sligo County Council,466
4861,Male,48 years,Cavan County Council,562
4862,Male,48 years,Donegal County Council,1151
4863,Male,48 years,Monaghan County Council,466
4864,Male,49 years,Ireland,36650
4865,Male,49 years,Carlow County Council,453
4866,Male,49 years,Dublin City Council,3701
4867,Male,49 years,Dún Laoghaire Rathdown County Council,1555
4868,Male,49 years,Fingal County Council,2562
4869,Male,49 years,South Dublin County Council,2070
4870,Male,49 years,Kildare County Council,1921
4871,Male,49 years,Kilkenny County Council,816
4872,Male,49 years,Laois County Council,661
4873,Male,49 years,Longford County Council,366
4874,Male,49 years,Louth County Council,1025
4875,Male,49 years,Meath County Council,1751
4876,Male,49 years,Offaly County Council,611
4877,Male,49 years,Westmeath County Council,684
4878,Male,49 years,Wexford County Council,1184
4879,Male,49 years,Wicklow County Council,1196
4880,Male,49 years,Clare County Council,941
4881,Male,49 years,Cork City Council,1466
4882,Male,49 years,Cork County Council,2691
4883,Male,49 years,Kerry County Council,1100
4884,Male,49 years,Limerick City & County Council,1474
4885,Male,49 years,Tipperary County Council,1242
4886,Male,49 years,Waterford City & County Council,909
4887,Male,49 years,Galway City Council,489
4888,Male,49 years,Galway County Council,1463
4889,Male,49 years,Leitrim County Council,238
4890,Male,49 years,Mayo  County Council,918
4891,Male,49 years,Roscommon County Council,502
4892,Male,49 years,Sligo County Council,448
4893,Male,49 years,Cavan County Council,555
4894,Male,49 years,Donegal County Council,1187
4895,Male,49 years,Monaghan County Council,471
4896,Male,50 years,Ireland,36050
4897,Male,50 years,Carlow County Council,443
4898,Male,50 years,Dublin City Council,3753
4899,Male,50 years,Dún Laoghaire Rathdown County Council,1494
4900,Male,50 years,Fingal County Council,2434
4901,Male,50 years,South Dublin County Council,1926
4902,Male,50 years,Kildare County Council,1911
4903,Male,50 years,Kilkenny County Council,726
4904,Male,50 years,Laois County Council,692
4905,Male,50 years,Longford County Council,309
4906,Male,50 years,Louth County Council,1050
4907,Male,50 years,Meath County Council,1700
4908,Male,50 years,Offaly County Council,594
4909,Male,50 years,Westmeath County Council,673
4910,Male,50 years,Wexford County Council,1193
4911,Male,50 years,Wicklow County Council,1156
4912,Male,50 years,Clare County Council,946
4913,Male,50 years,Cork City Council,1424
4914,Male,50 years,Cork County Council,2708
4915,Male,50 years,Kerry County Council,1164
4916,Male,50 years,Limerick City & County Council,1496
4917,Male,50 years,Tipperary County Council,1131
4918,Male,50 years,Waterford City & County Council,869
4919,Male,50 years,Galway City Council,469
4920,Male,50 years,Galway County Council,1392
4921,Male,50 years,Leitrim County Council,264
4922,Male,50 years,Mayo  County Council,971
4923,Male,50 years,Roscommon County Council,488
4924,Male,50 years,Sligo County Council,424
4925,Male,50 years,Cavan County Council,604
4926,Male,50 years,Donegal County Council,1185
4927,Male,50 years,Monaghan County Council,461
4928,Male,51 years,Ireland,34926
4929,Male,51 years,Carlow County Council,379
4930,Male,51 years,Dublin City Council,3567
4931,Male,51 years,Dún Laoghaire Rathdown County Council,1470
4932,Male,51 years,Fingal County Council,2252
4933,Male,51 years,South Dublin County Council,1894
4934,Male,51 years,Kildare County Council,1821
4935,Male,51 years,Kilkenny County Council,694
4936,Male,51 years,Laois County Council,660
4937,Male,51 years,Longford County Council,328
4938,Male,51 years,Louth County Council,1025
4939,Male,51 years,Meath County Council,1587
4940,Male,51 years,Offaly County Council,537
4941,Male,51 years,Westmeath County Council,654
4942,Male,51 years,Wexford County Council,1182
4943,Male,51 years,Wicklow County Council,1177
4944,Male,51 years,Clare County Council,916
4945,Male,51 years,Cork City Council,1372
4946,Male,51 years,Cork County Council,2684
4947,Male,51 years,Kerry County Council,1120
4948,Male,51 years,Limerick City & County Council,1413
4949,Male,51 years,Tipperary County Council,1174
4950,Male,51 years,Waterford City & County Council,867
4951,Male,51 years,Galway City Council,498
4952,Male,51 years,Galway County Council,1406
4953,Male,51 years,Leitrim County Council,225
4954,Male,51 years,Mayo  County Council,955
4955,Male,51 years,Roscommon County Council,495
4956,Male,51 years,Sligo County Council,495
4957,Male,51 years,Cavan County Council,537
4958,Male,51 years,Donegal County Council,1129
4959,Male,51 years,Monaghan County Council,413
4960,Male,52 years,Ireland,34356
4961,Male,52 years,Carlow County Council,420
4962,Male,52 years,Dublin City Council,3453
4963,Male,52 years,Dún Laoghaire Rathdown County Council,1409
4964,Male,52 years,Fingal County Council,2153
4965,Male,52 years,South Dublin County Council,1855
4966,Male,52 years,Kildare County Council,1749
4967,Male,52 years,Kilkenny County Council,742
4968,Male,52 years,Laois County Council,656
4969,Male,52 years,Longford County Council,319
4970,Male,52 years,Louth County Council,974
4971,Male,52 years,Meath County Council,1594
4972,Male,52 years,Offaly County Council,555
4973,Male,52 years,Westmeath County Council,652
4974,Male,52 years,Wexford County Council,1179
4975,Male,52 years,Wicklow County Council,1104
4976,Male,52 years,Clare County Council,919
4977,Male,52 years,Cork City Council,1340
4978,Male,52 years,Cork County Council,2555
4979,Male,52 years,Kerry County Council,1148
4980,Male,52 years,Limerick City & County Council,1414
4981,Male,52 years,Tipperary County Council,1148
4982,Male,52 years,Waterford City & County Council,836
4983,Male,52 years,Galway City Council,466
4984,Male,52 years,Galway County Council,1360
4985,Male,52 years,Leitrim County Council,247
4986,Male,52 years,Mayo  County Council,925
4987,Male,52 years,Roscommon County Council,513
4988,Male,52 years,Sligo County Council,463
4989,Male,52 years,Cavan County Council,557
4990,Male,52 years,Donegal County Council,1195
4991,Male,52 years,Monaghan County Council,456
4992,Male,53 years,Ireland,32611
4993,Male,53 years,Carlow County Council,400
4994,Male,53 years,Dublin City Council,3331
4995,Male,53 years,Dún Laoghaire Rathdown County Council,1332
4996,Male,53 years,Fingal County Council,2013
4997,Male,53 years,South Dublin County Council,1733
4998,Male,53 years,Kildare County Council,1611
4999,Male,53 years,Kilkenny County Council,700
5000,Male,53 years,Laois County Council,618
5001,Male,53 years,Longford County Council,296
5002,Male,53 years,Louth County Council,958
5003,Male,53 years,Meath County Council,1464
5004,Male,53 years,Offaly County Council,546
5005,Male,53 years,Westmeath County Council,645
5006,Male,53 years,Wexford County Council,1099
5007,Male,53 years,Wicklow County Council,989
5008,Male,53 years,Clare County Council,873
5009,Male,53 years,Cork City Council,1263
5010,Male,53 years,Cork County Council,2452
5011,Male,53 years,Kerry County Council,1099
5012,Male,53 years,Limerick City & County Council,1285
5013,Male,53 years,Tipperary County Council,1136
5014,Male,53 years,Waterford City & County Council,881
5015,Male,53 years,Galway City Council,424
5016,Male,53 years,Galway County Council,1308
5017,Male,53 years,Leitrim County Council,243
5018,Male,53 years,Mayo  County Council,880
5019,Male,53 years,Roscommon County Council,468
5020,Male,53 years,Sligo County Council,438
5021,Male,53 years,Cavan County Council,553
5022,Male,53 years,Donegal County Council,1141
5023,Male,53 years,Monaghan County Council,432
5024,Male,54 years,Ireland,32050
5025,Male,54 years,Carlow County Council,423
5026,Male,54 years,Dublin City Council,3389
5027,Male,54 years,Dún Laoghaire Rathdown County Council,1291
5028,Male,54 years,Fingal County Council,1882
5029,Male,54 years,South Dublin County Council,1649
5030,Male,54 years,Kildare County Council,1580
5031,Male,54 years,Kilkenny County Council,659
5032,Male,54 years,Laois County Council,600
5033,Male,54 years,Longford County Council,315
5034,Male,54 years,Louth County Council,911
5035,Male,54 years,Meath County Council,1447
5036,Male,54 years,Offaly County Council,579
5037,Male,54 years,Westmeath County Council,605
5038,Male,54 years,Wexford County Council,1058
5039,Male,54 years,Wicklow County Council,973
5040,Male,54 years,Clare County Council,850
5041,Male,54 years,Cork City Council,1305
5042,Male,54 years,Cork County Council,2325
5043,Male,54 years,Kerry County Council,1052
5044,Male,54 years,Limerick City & County Council,1307
5045,Male,54 years,Tipperary County Council,1124
5046,Male,54 years,Waterford City & County Council,806
5047,Male,54 years,Galway City Council,418
5048,Male,54 years,Galway County Council,1321
5049,Male,54 years,Leitrim County Council,244
5050,Male,54 years,Mayo  County Council,919
5051,Male,54 years,Roscommon County Council,445
5052,Male,54 years,Sligo County Council,487
5053,Male,54 years,Cavan County Council,538
5054,Male,54 years,Donegal County Council,1144
5055,Male,54 years,Monaghan County Council,404
5056,Male,55 years,Ireland,31353
5057,Male,55 years,Carlow County Council,412
5058,Male,55 years,Dublin City Council,3075
5059,Male,55 years,Dún Laoghaire Rathdown County Council,1334
5060,Male,55 years,Fingal County Council,1805
5061,Male,55 years,South Dublin County Council,1622
5062,Male,55 years,Kildare County Council,1513
5063,Male,55 years,Kilkenny County Council,698
5064,Male,55 years,Laois County Council,605
5065,Male,55 years,Longford County Council,275
5066,Male,55 years,Louth County Council,854
5067,Male,55 years,Meath County Council,1355
5068,Male,55 years,Offaly County Council,494
5069,Male,55 years,Westmeath County Council,591
5070,Male,55 years,Wexford County Council,1081
5071,Male,55 years,Wicklow County Council,961
5072,Male,55 years,Clare County Council,867
5073,Male,55 years,Cork City Council,1278
5074,Male,55 years,Cork County Council,2455
5075,Male,55 years,Kerry County Council,1007
5076,Male,55 years,Limerick City & County Council,1298
5077,Male,55 years,Tipperary County Council,1109
5078,Male,55 years,Waterford City & County Council,872
5079,Male,55 years,Galway City Council,408
5080,Male,55 years,Galway County Council,1306
5081,Male,55 years,Leitrim County Council,242
5082,Male,55 years,Mayo  County Council,903
5083,Male,55 years,Roscommon County Council,491
5084,Male,55 years,Sligo County Council,451
5085,Male,55 years,Cavan County Council,542
5086,Male,55 years,Donegal County Council,1075
5087,Male,55 years,Monaghan County Council,374
5088,Male,56 years,Ireland,30684
5089,Male,56 years,Carlow County Council,377
5090,Male,56 years,Dublin City Council,3168
5091,Male,56 years,Dún Laoghaire Rathdown County Council,1249
5092,Male,56 years,Fingal County Council,1695
5093,Male,56 years,South Dublin County Council,1483
5094,Male,56 years,Kildare County Council,1504
5095,Male,56 years,Kilkenny County Council,679
5096,Male,56 years,Laois County Council,554
5097,Male,56 years,Longford County Council,283
5098,Male,56 years,Louth County Council,877
5099,Male,56 years,Meath County Council,1352
5100,Male,56 years,Offaly County Council,535
5101,Male,56 years,Westmeath County Council,542
5102,Male,56 years,Wexford County Council,1013
5103,Male,56 years,Wicklow County Council,985
5104,Male,56 years,Clare County Council,828
5105,Male,56 years,Cork City Council,1286
5106,Male,56 years,Cork County Council,2364
5107,Male,56 years,Kerry County Council,1042
5108,Male,56 years,Limerick City & County Council,1227
5109,Male,56 years,Tipperary County Council,1130
5110,Male,56 years,Waterford City & County Council,828
5111,Male,56 years,Galway City Council,438
5112,Male,56 years,Galway County Council,1238
5113,Male,56 years,Leitrim County Council,224
5114,Male,56 years,Mayo  County Council,888
5115,Male,56 years,Roscommon County Council,461
5116,Male,56 years,Sligo County Council,415
5117,Male,56 years,Cavan County Council,550
5118,Male,56 years,Donegal County Council,1062
5119,Male,56 years,Monaghan County Council,407
5120,Male,57 years,Ireland,30891
5121,Male,57 years,Carlow County Council,355
5122,Male,57 years,Dublin City Council,3166
5123,Male,57 years,Dún Laoghaire Rathdown County Council,1295
5124,Male,57 years,Fingal County Council,1672
5125,Male,57 years,South Dublin County Council,1491
5126,Male,57 years,Kildare County Council,1464
5127,Male,57 years,Kilkenny County Council,666
5128,Male,57 years,Laois County Council,522
5129,Male,57 years,Longford County Council,307
5130,Male,57 years,Louth County Council,845
5131,Male,57 years,Meath County Council,1425
5132,Male,57 years,Offaly County Council,532
5133,Male,57 years,Westmeath County Council,585
5134,Male,57 years,Wexford County Council,1080
5135,Male,57 years,Wicklow County Council,1038
5136,Male,57 years,Clare County Council,824
5137,Male,57 years,Cork City Council,1282
5138,Male,57 years,Cork County Council,2338
5139,Male,57 years,Kerry County Council,1027
5140,Male,57 years,Limerick City & County Council,1253
5141,Male,57 years,Tipperary County Council,1157
5142,Male,57 years,Waterford City & County Council,820
5143,Male,57 years,Galway City Council,419
5144,Male,57 years,Galway County Council,1262
5145,Male,57 years,Leitrim County Council,245
5146,Male,57 years,Mayo  County Council,946
5147,Male,57 years,Roscommon County Council,455
5148,Male,57 years,Sligo County Council,420
5149,Male,57 years,Cavan County Council,515
5150,Male,57 years,Donegal County Council,1095
5151,Male,57 years,Monaghan County Council,390
5152,Male,58 years,Ireland,29775
5153,Male,58 years,Carlow County Council,356
5154,Male,58 years,Dublin City Council,3113
5155,Male,58 years,Dún Laoghaire Rathdown County Council,1278
5156,Male,58 years,Fingal County Council,1600
5157,Male,58 years,South Dublin County Council,1445
5158,Male,58 years,Kildare County Council,1349
5159,Male,58 years,Kilkenny County Council,626
5160,Male,58 years,Laois County Council,529
5161,Male,58 years,Longford County Council,277
5162,Male,58 years,Louth County Council,834
5163,Male,58 years,Meath County Council,1198
5164,Male,58 years,Offaly County Council,544
5165,Male,58 years,Westmeath County Council,567
5166,Male,58 years,Wexford County Council,1042
5167,Male,58 years,Wicklow County Council,905
5168,Male,58 years,Clare County Council,841
5169,Male,58 years,Cork City Council,1317
5170,Male,58 years,Cork County Council,2230
5171,Male,58 years,Kerry County Council,1040
5172,Male,58 years,Limerick City & County Council,1203
5173,Male,58 years,Tipperary County Council,1081
5174,Male,58 years,Waterford City & County Council,809
5175,Male,58 years,Galway City Council,356
5176,Male,58 years,Galway County Council,1201
5177,Male,58 years,Leitrim County Council,230
5178,Male,58 years,Mayo  County Council,917
5179,Male,58 years,Roscommon County Council,498
5180,Male,58 years,Sligo County Council,464
5181,Male,58 years,Cavan County Council,468
5182,Male,58 years,Donegal County Council,1078
5183,Male,58 years,Monaghan County Council,379
5184,Male,59 years,Ireland,29196
5185,Male,59 years,Carlow County Council,383
5186,Male,59 years,Dublin City Council,3040
5187,Male,59 years,Dún Laoghaire Rathdown County Council,1285
5188,Male,59 years,Fingal County Council,1593
5189,Male,59 years,South Dublin County Council,1470
5190,Male,59 years,Kildare County Council,1261
5191,Male,59 years,Kilkenny County Council,638
5192,Male,59 years,Laois County Council,501
5193,Male,59 years,Longford County Council,263
5194,Male,59 years,Louth County Council,774
5195,Male,59 years,Meath County Council,1207
5196,Male,59 years,Offaly County Council,489
5197,Male,59 years,Westmeath County Council,593
5198,Male,59 years,Wexford County Council,985
5199,Male,59 years,Wicklow County Council,952
5200,Male,59 years,Clare County Council,797
5201,Male,59 years,Cork City Council,1285
5202,Male,59 years,Cork County Council,2166
5203,Male,59 years,Kerry County Council,1031
5204,Male,59 years,Limerick City & County Council,1176
5205,Male,59 years,Tipperary County Council,1124
5206,Male,59 years,Waterford City & County Council,837
5207,Male,59 years,Galway City Council,351
5208,Male,59 years,Galway County Council,1133
5209,Male,59 years,Leitrim County Council,212
5210,Male,59 years,Mayo  County Council,905
5211,Male,59 years,Roscommon County Council,444
5212,Male,59 years,Sligo County Council,451
5213,Male,59 years,Cavan County Council,515
5214,Male,59 years,Donegal County Council,962
5215,Male,59 years,Monaghan County Council,373
5216,Male,60 years,Ireland,28455
5217,Male,60 years,Carlow County Council,356
5218,Male,60 years,Dublin City Council,2961
5219,Male,60 years,Dún Laoghaire Rathdown County Council,1254
5220,Male,60 years,Fingal County Council,1502
5221,Male,60 years,South Dublin County Council,1435
5222,Male,60 years,Kildare County Council,1276
5223,Male,60 years,Kilkenny County Council,594
5224,Male,60 years,Laois County Council,506
5225,Male,60 years,Longford County Council,269
5226,Male,60 years,Louth County Council,772
5227,Male,60 years,Meath County Council,1111
5228,Male,60 years,Offaly County Council,463
5229,Male,60 years,Westmeath County Council,565
5230,Male,60 years,Wexford County Council,1015
5231,Male,60 years,Wicklow County Council,985
5232,Male,60 years,Clare County Council,783
5233,Male,60 years,Cork City Council,1277
5234,Male,60 years,Cork County Council,2108
5235,Male,60 years,Kerry County Council,1001
5236,Male,60 years,Limerick City & County Council,1184
5237,Male,60 years,Tipperary County Council,998
5238,Male,60 years,Waterford City & County Council,769
5239,Male,60 years,Galway City Council,376
5240,Male,60 years,Galway County Council,1161
5241,Male,60 years,Leitrim County Council,213
5242,Male,60 years,Mayo  County Council,845
5243,Male,60 years,Roscommon County Council,432
5244,Male,60 years,Sligo County Council,429
5245,Male,60 years,Cavan County Council,478
5246,Male,60 years,Donegal County Council,963
5247,Male,60 years,Monaghan County Council,374
5248,Male,61 years,Ireland,27849
5249,Male,61 years,Carlow County Council,334
5250,Male,61 years,Dublin City Council,2829
5251,Male,61 years,Dún Laoghaire Rathdown County Council,1190
5252,Male,61 years,Fingal County Council,1427
5253,Male,61 years,South Dublin County Council,1438
5254,Male,61 years,Kildare County Council,1237
5255,Male,61 years,Kilkenny County Council,599
5256,Male,61 years,Laois County Council,496
5257,Male,61 years,Longford County Council,263
5258,Male,61 years,Louth County Council,754
5259,Male,61 years,Meath County Council,1128
5260,Male,61 years,Offaly County Council,542
5261,Male,61 years,Westmeath County Council,517
5262,Male,61 years,Wexford County Council,979
5263,Male,61 years,Wicklow County Council,861
5264,Male,61 years,Clare County Council,756
5265,Male,61 years,Cork City Council,1156
5266,Male,61 years,Cork County Council,2084
5267,Male,61 years,Kerry County Council,973
